date,inverter_id,manufacturer,climate_zone,rated_capacity_kw,installation_quality_score,maintenance_quality_score,age_months,ambient_temperature_c,humidity_pct,dust_soiling_index,uv_exposure_index,cumulative_uv_exposure,operating_hours_today,cumulative_operating_hours,cumulative_energy_throughput_mwh,efficiency_pct,reactive_power_capability,internal_temperature_c,voltage_ripple,current_harmonic_distortion_pct,insulation_resistance_mohm,capacitor_degradation_indicator,fan_speed_rpm,restart_count_today,error_code_count_today,thermal_cycling_count_today,overload_events_today,failure_within_7d,failure_within_30d,failure_within_90d,rul_days,failed_today,is_censored,efficiency_7d_mean,efficiency_30d_mean,temperature_7d_mean,temperature_30d_mean,efficiency_decline_7d,temp_stress_index,restart_7d_sum,errors_7d_sum
2025-01-01,INV-0001,Fronius,Temperate,100,0.789,0.88,83.0,19.57,40.05,0.292,6.43,6.43,11.78,11.78,1.161,97.93,1.057,28.51,2.631,5.431,79.04,0.427,2676.3,0,0,3,0,0,0,0,127.0,0,0,97.93,97.93,28.51,28.51,0.0,0.0,0.0,0.0
2025-01-02,INV-0001,Fronius,Temperate,100,0.789,0.88,83.03,23.48,41.48,0.346,6.33,12.76,12.3,24.08,2.112,97.46,1.076,36.64,2.569,5.509,77.96,0.383,2573.1,0,0,0,0,0,0,0,126.0,0,0,97.695,97.695,32.575,32.575,-0.23499999999999943,0.0,0.0,0.0
2025-01-03,INV-0001,Fronius,Temperate,100,0.789,0.88,83.07,21.69,45.8,0.329,7.88,20.64,12.34,36.42,2.967,98.04,0.958,32.22,3.072,5.553,80.58,0.295,2865.0,0,0,0,0,0,0,0,125.0,0,0,97.81,97.81,32.45666666666667,32.45666666666667,0.23000000000000398,0.0,0.0,0.0
2025-01-04,INV-0001,Fronius,Temperate,100,0.789,0.88,83.1,21.43,22.49,0.186,7.09,27.74,10.41,46.83,3.794,97.48,1.039,35.1,2.268,5.643,76.89,0.502,2451.1,0,0,4,1,0,0,0,124.0,0,0,97.7275,97.7275,33.1175,33.1175,-0.24750000000000227,0.0,0.0,0.0
2025-01-05,INV-0001,Fronius,Temperate,100,0.789,0.88,83.13,23.25,33.41,0.368,6.04,33.78,14.66,61.49,5.075,98.43,0.926,36.49,2.869,5.472,82.03,0.367,2605.3,0,0,0,0,0,0,0,123.0,0,0,97.86800000000001,97.86800000000001,33.792,33.792,0.5619999999999976,0.0,0.0,0.0
2025-01-06,INV-0001,Fronius,Temperate,100,0.789,0.88,83.17,22.86,40.87,0.44,5.74,39.52,10.47,71.95,6.049,97.79,0.972,31.56,3.15,5.25,78.13,0.351,2563.4,0,0,1,1,0,0,0,122.0,0,0,97.855,97.855,33.42,33.42,-0.06499999999999773,0.0,0.0,0.0
2025-01-07,INV-0001,Fronius,Temperate,100,0.789,0.88,83.2,20.69,43.24,0.248,5.05,44.57,12.8,84.76,7.13,97.52,0.962,33.16,2.307,5.497,84.65,0.574,2199.0,1,0,1,0,0,0,0,121.0,0,0,97.80714285714285,97.80714285714285,33.38285714285714,33.38285714285714,-0.2871428571428538,0.0,1.0,0.0
2025-01-08,INV-0001,Fronius,Temperate,100,0.789,0.88,83.23,24.84,53.73,0.276,6.7,51.26,11.47,96.23,8.344,98.21,0.877,36.56,2.844,4.854,79.51,0.504,2790.8,0,0,2,0,0,0,0,120.0,0,0,97.84714285714287,97.8575,34.53285714285715,33.78,0.36285714285712345,0.0,1.0,0.0
2025-01-09,INV-0001,Fronius,Temperate,100,0.789,0.88,83.27,29.85,55.48,0.375,4.18,55.44,10.27,106.5,9.307,97.54,1.033,41.78,2.399,5.385,80.39,0.49,2627.0,2,1,2,0,0,0,0,119.0,0,0,97.85857142857142,97.82222222222222,35.26714285714286,34.66888888888889,-0.31857142857141696,1.7800000000000011,3.0,1.0
2025-01-10,INV-0001,Fronius,Temperate,100,0.789,0.88,83.3,29.51,51.8,0.33,6.0,61.44,9.18,115.68,10.039,98.18,1.007,37.29,2.883,5.811,81.19,0.266,3251.8,0,0,1,0,0,0,0,118.0,0,0,97.87857142857145,97.858,35.99142857142857,34.931,0.30142857142855917,0.0,3.0,1.0
