CategoryKey,CategoryName,Department,DivisionName
1,Electronics,Electronics,Consumer Tech
2,Home & Kitchen,Home & Kitchen,Home
3,Beauty & Personal Care,Beauty & Personal Care,Health & Beauty
4,Toys & Games,Toys & Games,Family
5,Sports & Outdoors,Sports & Outdoors,Lifestyle
6,Grocery & Gourmet,Grocery & Gourmet,Consumables
7,Apparel,Apparel,Fashion
8,Footwear,Footwear,Fashion
9,Furniture,Furniture,Home
10,Pet Supplies,Pet Supplies,Lifestyle
11,Office Products,Office Products,Business
12,Automotive,Automotive,Lifestyle
13,Baby Products,Baby Products,Family
14,Health & Household,Health & Household,Health & Beauty
15,Tools & Home Improvement,Tools & Home Improvement,Home
16,Books,Books,Media
17,Video Games,Video Games,Consumer Tech
18,Musical Instruments,Musical Instruments,Lifestyle
19,Garden & Outdoor,Garden & Outdoor,Home
20,Luggage & Travel,Luggage & Travel,Lifestyle
21,Jewellery,Jewellery,Fashion
22,Watches,Watches,Fashion
23,Camera & Photo,Camera & Photo,Consumer Tech
24,Appliances,Appliances,Home
25,Arts & Crafts,Arts & Crafts,Family
