VendorKey,VendorName,VendorID,VendorTier,Country,OnboardDate,AccountManager,VendorSegment
1,Solstice Brands,VND-1000,Long-Tail,United States,2025-09-12,M. Chen,Brand Owner
2,Northbridge Distribution,VND-1001,Emerging,China,2021-06-06,L. Fitzgerald,Brand Owner
3,Meridian Pty Ltd,VND-1002,Emerging,United States,2022-08-27,K. Nguyen,Distributor
4,Harbor Trading Co.,VND-1003,Long-Tail,Australia,2021-06-04,M. Chen,Distributor
5,Crestview Brands,VND-1004,Emerging,China,2022-08-10,K. Nguyen,Brand Owner
6,Lighthouse Group,VND-1005,Long-Tail,Australia,2022-04-05,L. Fitzgerald,Reseller
7,Windward Pty Ltd,VND-1006,Core,Australia,2023-09-26,S. Patel,Distributor
8,Lighthouse Industries,VND-1007,Emerging,Australia,2021-06-10,S. Patel,Brand Owner
9,Northbridge Wholesale,VND-1008,Emerging,Australia,2022-03-30,A. Costa,Brand Owner
10,Sterling Industries,VND-1009,Core,Australia,2021-03-12,S. Patel,Brand Owner
11,Highland Trading Co.,VND-1010,Core,Australia,2021-10-28,S. Patel,Brand Owner
12,Amberly Distribution,VND-1011,Long-Tail,Germany,2025-05-27,D. O'Brien,Brand Owner
13,Bondi Distribution,VND-1012,Emerging,Australia,2019-04-16,J. Alvarez,Brand Owner
14,Torrens Trading Co.,VND-1013,Core,Australia,2020-11-01,D. O'Brien,Brand Owner
15,Harbor Pty Ltd,VND-1014,Long-Tail,United States,2021-09-15,D. O'Brien,Brand Owner
16,Cascade Industries,VND-1015,Long-Tail,New Zealand,2025-08-15,A. Costa,Reseller
17,Windward Industries,VND-1016,Emerging,Australia,2025-10-02,D. O'Brien,Brand Owner
18,Summit Goods,VND-1017,Long-Tail,China,2020-08-25,S. Patel,Brand Owner
19,Pioneer Pty Ltd,VND-1018,Core,China,2018-12-24,L. Fitzgerald,Brand Owner
20,Coastal Industries,VND-1019,Core,Australia,2019-10-30,A. Costa,Reseller
21,Torrens Pty Ltd,VND-1020,Long-Tail,Germany,2019-01-08,A. Costa,Brand Owner
22,Summit Wholesale,VND-1021,Long-Tail,Vietnam,2020-10-28,R. Thompson,Brand Owner
23,Crestview Industries,VND-1022,Long-Tail,Australia,2021-02-19,A. Costa,Reseller
24,Harbor Manufacturing,VND-1023,Emerging,Australia,2021-10-03,R. Thompson,Reseller
25,Pioneer Distribution,VND-1024,Long-Tail,Germany,2025-06-16,A. Costa,Distributor
26,Vantage Goods,VND-1025,Long-Tail,China,2018-03-31,J. Alvarez,Brand Owner
27,Redwood Goods,VND-1026,Long-Tail,China,2025-07-08,S. Patel,Brand Owner
28,Summit Trading Co.,VND-1027,Long-Tail,United States,2019-06-24,A. Costa,Distributor
29,Aurora Trading Co.,VND-1028,Emerging,China,2025-08-11,S. Patel,Reseller
30,Kangaroo Trading Co.,VND-1029,Emerging,Germany,2020-05-18,S. Patel,Distributor
31,Highland Group,VND-1030,Emerging,Germany,2018-02-10,K. Nguyen,Distributor
32,Aurora Supply Co.,VND-1031,Long-Tail,Vietnam,2020-01-10,A. Costa,Brand Owner
33,Solstice Group,VND-1032,Long-Tail,China,2023-05-01,M. Chen,Distributor
