AdvertisingKey,DateKey,ProductKey,CampaignType,Impressions,Clicks,AdSpend,AdSales
1,20251204,132,Sponsored Products,194,1,1.29,7.42
2,20250410,190,Sponsored Display,586,3,3.6,5.64
3,20231030,472,Sponsored Products,3217,18,11.2,25.57
4,20250122,773,DSP,2267,20,23.0,48.68
5,20230522,389,DSP,1570,8,5.88,30.89
6,20240726,647,Sponsored Brands,2095,11,18.02,109.33
7,20260421,491,DSP,2502,15,16.12,31.41
8,20230810,422,Sponsored Products,456,7,6.21,10.28
9,20250512,63,Sponsored Products,583,2,3.1,12.94
10,20230209,118,Sponsored Products,1491,21,14.66,23.65
11,20250330,654,Sponsored Products,824,4,6.84,41.96
12,20230831,339,Sponsored Products,2657,21,26.85,110.29
13,20230430,738,Sponsored Display,1115,14,14.67,88.95
14,20250107,48,Sponsored Products,725,11,10.55,56.96
15,20241026,318,Sponsored Products,3314,14,9.21,33.23
16,20230305,137,Sponsored Brands,4341,63,34.92,203.34
17,20240111,609,Sponsored Products,1328,10,4.08,7.73
18,20240609,416,DSP,2277,15,9.59,40.8
19,20230215,1,Sponsored Products,839,13,12.83,61.78
20,20251226,199,Sponsored Products,311,5,8.38,46.73
21,20231012,573,Sponsored Display,1158,19,10.83,55.92
22,20250428,164,Sponsored Products,172,0,0.0,0.0
23,20240123,777,Sponsored Brands,3545,67,71.28,208.25
24,20231227,453,Sponsored Brands,1854,23,26.09,125.87
25,20240703,548,Sponsored Products,1287,21,35.33,55.39
26,20260218,523,DSP,734,8,10.35,57.76
27,20230118,61,DSP,381,6,2.55,16.49
28,20230822,770,Sponsored Display,911,13,9.45,42.39
29,20230911,190,Sponsored Brands,949,18,30.12,88.86
30,20260115,402,Sponsored Products,3682,49,79.45,385.56
31,20240619,34,DSP,1028,18,8.19,46.61
32,20251103,708,Sponsored Brands,2101,11,13.13,69.55
33,20260405,606,Sponsored Brands,246,2,2.69,10.05
34,20250814,348,DSP,1558,28,15.41,79.83
35,20250520,372,Sponsored Brands,2925,45,51.8,181.84
36,20260108,445,Sponsored Products,377,3,3.54,18.66
37,20250117,742,Sponsored Products,1027,17,11.14,48.14
38,20230612,265,Sponsored Brands,3208,28,31.55,51.46
39,20230125,457,Sponsored Brands,1143,21,16.93,86.59
40,20240303,177,Sponsored Products,883,16,8.35,13.47
41,20260507,697,Sponsored Products,2289,18,25.81,111.27
42,20260409,530,Sponsored Products,314,1,1.61,9.1
43,20260324,441,Sponsored Display,1971,19,28.25,116.4
44,20231124,554,Sponsored Brands,11057,55,71.42,397.58
45,20251116,399,Sponsored Products,1296,6,6.24,37.67
46,20241121,400,Sponsored Display,946,10,15.77,69.37
47,20260626,783,Sponsored Products,880,13,11.87,27.91
48,20250927,658,Sponsored Products,1091,11,7.05,40.3
49,20240407,103,Sponsored Products,2189,34,49.69,183.86
50,20240217,277,DSP,3775,59,50.86,268.8
51,20240611,607,Sponsored Brands,658,9,4.68,8.92
52,20231130,159,Sponsored Products,4526,78,117.0,262.49
53,20240312,262,Sponsored Display,867,7,10.45,57.47
54,20240713,793,Sponsored Products,831,8,8.01,40.24
55,20230209,80,Sponsored Products,1367,25,23.23,149.1
56,20230428,203,DSP,4164,78,79.03,354.1
57,20260624,751,Sponsored Products,1781,19,10.16,29.66
58,20251229,495,Sponsored Products,498,5,8.0,27.2
59,20240615,166,Sponsored Display,1611,24,10.67,61.53
60,20230308,123,DSP,2304,22,28.92,65.65
61,20230104,243,Sponsored Products,162,2,3.27,15.91
62,20230613,574,Sponsored Brands,961,13,21.36,37.73
63,20230130,206,Sponsored Brands,717,3,3.91,8.19
64,20240714,206,Sponsored Brands,2170,11,10.26,37.61
65,20230715,357,Sponsored Brands,2799,54,80.29,512.45
66,20230223,303,Sponsored Products,630,10,16.32,59.55
67,20250807,61,DSP,456,2,1.19,5.29
68,20240112,216,Sponsored Products,221,1,0.52,1.2
69,20250915,775,Sponsored Display,1263,5,8.21,40.04
70,20250317,502,Sponsored Products,1595,9,13.43,82.56
71,20250517,472,Sponsored Products,852,9,12.52,60.49
72,20231023,197,Sponsored Products,472,2,1.67,7.44
73,20250627,536,Sponsored Brands,1630,31,49.4,103.96
74,20240906,262,Sponsored Products,2593,34,37.79,61.01
75,20240423,645,DSP,331,1,1.42,7.84
76,20260624,515,Sponsored Display,2974,22,20.23,114.65
77,20230326,64,Sponsored Products,4601,26,44.7,155.29
78,20240314,116,Sponsored Brands,1474,23,37.27,133.83
79,20250607,56,DSP,3677,65,82.37,446.21
80,20251215,287,Sponsored Brands,2505,38,34.07,185.06
81,20240326,543,Sponsored Display,1489,15,11.45,33.51
82,20230712,181,Sponsored Display,8204,160,169.13,320.84
83,20230725,478,Sponsored Products,376,2,2.89,8.74
84,20250810,272,Sponsored Display,1704,22,38.94,106.43
85,20231002,611,DSP,1031,6,2.46,12.85
86,20241029,524,Sponsored Brands,257,2,2.66,15.89
87,20250223,381,Sponsored Products,1218,18,30.92,141.88
88,20231027,731,DSP,3506,69,115.27,406.46
89,20230722,417,Sponsored Products,2625,30,14.13,69.49
90,20231019,59,Sponsored Products,2776,12,18.31,65.75
91,20260314,633,Sponsored Products,3106,57,70.93,330.89
92,20250723,287,Sponsored Display,255,0,0.0,0.0
93,20241021,521,Sponsored Brands,1314,24,21.49,70.43
94,20240611,584,Sponsored Display,1194,19,9.12,49.41
95,20260227,85,Sponsored Display,3360,58,30.84,186.39
96,20240815,11,DSP,4407,53,86.33,484.18
97,20260120,135,Sponsored Products,368,5,6.54,40.12
98,20230519,610,Sponsored Products,3394,19,22.83,123.37
99,20240304,772,Sponsored Products,643,4,2.27,8.61
100,20260403,678,Sponsored Display,947,9,14.74,86.44
101,20241028,763,Sponsored Display,1532,29,50.49,200.46
102,20230625,142,Sponsored Display,262,3,5.1,31.24
