AvailabilityKey,DateKey,ProductKey,WarehouseKey,AvailabilityPct,InStockFlag
1,20240904,288,6,73.6,1
2,20231017,135,6,97.4,1
3,20230102,566,10,93.3,1
4,20230727,346,9,91.4,1
5,20260114,398,6,87.8,1
6,20240520,133,7,95.8,1
7,20251211,172,1,92.0,1
8,20230419,800,9,93.0,1
9,20230524,533,4,72.2,1
10,20241217,10,2,73.8,1
11,20240531,80,5,99.9,1
12,20250607,278,6,87.2,1
13,20240618,527,9,98.5,1
14,20251114,44,7,71.7,1
15,20250509,539,1,92.6,1
16,20240912,449,6,77.3,1
17,20240224,400,5,75.1,1
18,20260405,567,9,92.2,1
19,20251121,385,8,97.1,1
20,20240227,261,2,88.0,1
21,20260514,424,5,93.1,1
22,20260527,59,3,95.7,1
23,20230615,373,6,71.2,1
24,20250322,392,7,98.3,1
25,20240614,132,3,91.8,1
26,20251002,619,9,96.8,1
27,20260210,587,2,86.6,1
28,20250626,219,3,97.7,1
29,20240724,752,9,90.3,1
30,20240911,754,3,89.0,1
31,20260425,59,5,93.2,1
32,20230726,84,9,88.7,1
33,20240627,488,5,97.7,1
34,20231222,15,5,77.8,1
35,20230811,438,5,75.6,1
36,20230505,411,9,89.7,1
37,20260222,713,8,93.5,1
38,20240306,370,7,77.6,1
39,20230712,731,10,89.1,1
40,20250929,97,8,93.4,1
41,20250104,712,4,95.3,1
42,20250108,347,10,83.9,1
43,20260114,584,10,99.0,1
44,20231121,307,6,82.4,1
45,20250424,569,9,87.3,1
46,20240820,101,1,85.4,1
47,20230408,84,10,78.8,1
48,20230207,435,1,89.4,1
49,20240317,654,10,97.9,1
50,20230701,424,5,88.7,1
51,20231101,729,5,95.6,1
52,20230310,81,10,86.2,1
53,20230126,237,7,82.5,1
54,20250615,422,4,97.3,1
55,20260113,17,7,89.4,1
56,20250130,569,10,71.2,1
57,20260409,500,9,86.8,1
58,20250916,685,2,92.8,1
59,20240120,78,1,95.5,1
60,20260217,373,2,74.2,1
61,20230601,424,6,94.8,1
62,20230412,717,6,79.3,1
63,20240807,462,2,98.6,1
64,20230111,146,9,73.4,1
65,20260416,779,4,98.1,1
66,20240804,504,8,81.0,1
67,20260221,508,10,78.1,1
68,20230521,48,5,94.6,1
69,20250725,705,10,96.7,1
70,20250423,6,5,91.3,1
71,20260309,78,2,93.1,1
72,20250328,373,6,87.5,1
73,20250320,393,6,91.0,1
