ForecastKey,DateKey,ProductKey,ForecastUnits,ForecastRevenue,ActualUnits,ActualRevenue
1,20230101,166,146,40525.22,121,33585.97
2,20230101,128,164,6848.64,212,8853.12
3,20230101,413,139,13752.66,144,14247.36
4,20230101,654,129,28853.43,149,33326.83
5,20230101,711,142,12687.7,170,15189.5
6,20230101,123,122,15003.56,97,11929.06
7,20230101,246,127,36808.41,147,42605.01
8,20230101,637,117,8583.12,113,8289.68
9,20230101,716,118,11519.16,99,9664.38
10,20230101,672,163,17366.02,151,16087.54
11,20230101,150,119,12835.34,113,12188.18
12,20230101,572,132,12682.56,106,10184.48
13,20230101,504,126,3090.78,151,3704.03
14,20230101,269,174,2724.84,144,2255.04
15,20230101,354,143,33746.57,183,43186.17
16,20230101,590,173,11459.52,192,12718.08
17,20230101,730,131,28606.47,98,21400.26
18,20230101,699,143,9425.13,124,8172.84
19,20230101,263,119,10404.17,130,11365.9
20,20230101,288,113,3306.38,88,2574.88
21,20230101,230,115,6415.85,88,4909.52
22,20230101,440,150,17077.5,117,13320.45
23,20230101,744,150,14850.0,191,18909.0
24,20230101,46,150,50772.0,134,45356.32
25,20230101,35,127,2059.94,89,1443.58
26,20230101,203,143,51185.42,151,54048.94
27,20230101,359,135,21162.6,154,24141.04
28,20230101,605,127,20510.5,163,26324.5
29,20230101,480,122,51932.96,115,48953.2
30,20230101,624,120,2600.4,139,3012.13
31,20230101,537,114,14334.36,140,17603.6
32,20230101,234,118,37630.2,105,33484.5
33,20230101,636,129,18065.16,101,14144.04
34,20230101,133,132,20808.48,123,19389.72
35,20230101,800,121,16789.96,146,20258.96
36,20230101,761,120,48369.6,132,53206.56
37,20230101,89,121,10153.11,96,8055.36
38,20230101,280,116,5156.2,125,5556.25
39,20230101,435,115,26151.0,122,27742.8
40,20230101,291,130,23163.4,111,19777.98
41,20230101,312,128,26311.68,118,24256.08
42,20230101,456,141,30912.84,177,38805.48
43,20230101,563,126,5183.64,121,4977.94
44,20230101,122,128,24744.96,133,25711.56
