InventoryKey,DateKey,ProductKey,WarehouseKey,OnHandUnits,InTransitUnits,ReorderPoint,StockoutFlag
1,20230713,184,2,0,88,173,1
2,20250802,566,5,138,226,59,0
3,20230413,530,9,249,43,58,0
4,20241224,630,6,0,82,88,1
5,20240423,574,3,0,142,33,1
6,20251208,324,4,271,4,114,0
7,20240803,502,5,208,41,136,0
8,20241013,82,6,130,140,189,0
9,20250310,389,7,284,181,106,0
10,20260507,286,8,38,64,62,0
11,20241113,735,9,223,155,108,0
12,20251208,466,5,188,128,70,0
13,20231112,655,10,251,110,163,0
14,20240705,633,7,241,115,168,0
15,20241104,789,2,271,15,143,0
16,20230207,51,2,451,213,183,0
17,20230212,311,1,286,162,81,0
18,20251116,795,10,76,235,24,0
19,20250813,433,2,217,10,108,0
20,20251204,134,9,163,89,159,0
21,20240201,683,10,137,45,69,0
22,20250228,741,3,95,217,29,0
23,20240819,213,8,394,106,165,0
24,20260117,110,7,148,95,106,0
25,20240930,56,10,255,40,118,0
26,20250228,388,5,305,142,96,0
27,20250121,593,3,80,182,138,0
28,20250705,587,10,129,1,165,0
29,20241001,615,6,100,125,115,0
30,20241208,277,4,24,146,65,0
31,20250625,349,1,85,104,65,0
32,20250721,351,8,150,120,84,0
33,20250919,96,10,286,58,36,0
34,20250328,772,10,280,136,57,0
35,20250714,327,10,364,136,153,0
36,20251020,489,10,181,116,190,0
37,20240429,380,4,65,50,133,0
38,20250129,232,8,159,137,42,0
39,20251210,131,1,233,245,172,0
40,20230430,35,10,230,220,180,0
41,20230131,485,6,165,166,89,0
42,20250822,638,2,175,79,37,0
43,20250729,609,1,163,124,141,0
44,20250122,260,8,0,150,30,1
45,20230722,54,10,150,163,185,0
46,20260616,143,6,353,145,72,0
47,20230520,795,8,333,65,130,0
48,20241222,345,2,154,106,28,0
49,20230502,228,7,101,50,188,0
50,20250806,606,2,260,213,69,0
51,20230530,708,7,41,173,48,0
52,20230613,467,6,85,100,61,0
53,20230125,530,7,201,69,73,0
54,20230705,545,1,63,69,39,0
55,20241031,294,2,127,213,176,0
56,20250710,530,6,136,53,143,0
57,20230128,421,10,145,129,172,0
58,20241223,430,8,127,79,77,0
59,20260626,545,2,60,32,134,0
60,20251008,631,1,98,153,101,0
61,20250115,761,8,108,35,161,0
62,20241123,395,2,164,231,21,0
63,20250731,511,8,278,219,161,0
64,20241010,481,2,225,48,42,0
65,20241012,91,6,234,117,122,0
66,20240814,104,2,196,180,107,0
67,20260630,600,10,187,166,109,0
68,20250430,579,6,119,55,34,0
69,20230809,535,9,201,208,89,0
70,20250414,634,10,60,85,65,0
71,20240303,150,3,82,149,47,0
72,20230403,38,9,97,47,95,0
73,20231026,342,10,422,227,107,0
74,20240104,709,2,252,200,194,0
75,20240122,94,8,57,5,140,0
76,20241029,489,3,124,62,136,0
77,20250104,21,6,285,237,24,0
78,20250621,61,8,43,122,140,0
79,20250131,502,6,108,241,186,0
80,20250615,414,1,65,135,99,0
81,20251205,350,9,208,218,79,0
82,20231006,742,2,98,206,102,0
83,20241115,89,10,152,245,118,0
84,20250321,67,7,0,17,84,1
85,20240715,489,1,0,87,33,1
86,20230430,135,9,281,93,145,0
87,20241201,522,6,228,227,51,0
88,20230518,657,4,654,7,72,0
89,20240705,511,3,119,232,183,0
90,20240703,324,8,98,133,191,0
91,20241214,239,8,137,27,151,0
92,20260610,520,8,82,3,125,0
93,20250228,567,8,12,68,172,1
94,20230311,694,3,98,29,21,0
95,20240518,721,3,139,236,152,0
96,20240825,47,4,124,19,34,0
97,20231208,514,7,187,180,54,0
98,20240403,784,2,264,191,145,0
99,20240416,455,2,126,4,70,0
100,20251205,352,2,169,38,101,0
101,20260610,778,8,108,245,195,0
102,20241008,64,8,103,41,146,0
103,20251119,715,8,176,173,42,0
104,20260301,731,1,404,21,154,0
105,20260616,497,9,248,112,156,0
106,20250130,29,5,102,117,30,0
107,20230828,163,8,155,4,117,0
108,20230428,435,7,76,245,196,0
109,20260315,203,6,226,173,160,0
110,20250128,752,7,167,201,76,0
111,20260417,580,3,105,165,117,0
112,20230114,1,9,146,163,103,0
113,20230926,619,7,98,7,118,0
114,20260605,455,5,241,197,50,0
115,20230616,477,6,139,36,197,0
116,20230623,267,2,178,133,193,0
117,20240402,652,10,355,135,50,0
118,20240128,69,8,158,165,177,0
119,20251223,82,9,41,133,87,0
120,20230301,672,1,231,132,64,0
121,20240516,607,10,179,130,35,0
122,20251207,220,7,128,126,87,0
123,20250417,707,7,147,61,78,0
124,20230716,466,8,121,160,104,0
125,20231009,228,9,136,51,57,0
126,20250321,240,8,100,33,79,0
127,20240306,245,6,186,10,67,0
128,20250812,524,8,0,167,116,1
129,20240319,53,10,58,145,135,0
130,20240923,320,8,401,149,74,0
131,20230612,393,5,38,172,43,0
132,20241110,50,5,0,204,182,1
133,20250508,528,4,0,210,161,1
134,20250729,636,5,147,34,112,0
135,20230820,515,1,380,5,77,0
136,20230127,672,5,107,31,115,0
137,20230412,655,10,101,41,191,0
138,20230320,434,1,18,162,93,0
139,20240604,615,3,141,26,110,0
140,20250315,519,5,253,96,156,0
141,20240119,23,5,143,11,65,0
142,20230411,767,2,153,166,66,0
143,20250316,232,1,163,67,168,0
144,20240726,548,7,350,224,184,0
145,20260319,377,1,220,102,165,0
146,20231227,56,3,29,139,161,0
147,20241219,105,3,160,83,33,0
148,20250716,10,8,232,35,69,0
149,20230919,668,4,87,199,131,0
150,20240630,94,1,361,131,89,0
151,20230127,96,9,163,19,135,0
152,20240630,396,7,123,89,118,0
153,20250205,711,7,148,97,80,0
154,20230130,773,6,262,199,52,0
155,20250903,69,3,23,163,84,0
156,20240717,146,10,380,123,78,0
157,20230102,363,7,248,181,120,0
158,20260404,390,10,267,59,98,0
159,20241214,377,7,160,97,22,0
160,20231001,228,1,309,141,191,0
161,20250506,132,6,196,0,116,0
162,20260516,717,10,145,78,21,0
163,20231020,450,6,64,126,146,0
164,20231027,339,7,104,26,48,0
165,20240730,444,8,23,145,62,0
166,20260604,314,5,118,77,157,0
167,20240814,323,3,343,55,193,0
168,20250522,605,3,99,180,45,0
169,20260114,591,2,155,222,113,0
170,20230214,574,10,524,22,158,0
171,20251005,21,8,79,113,109,0
172,20230116,103,7,65,18,133,0
173,20240823,49,10,124,115,71,0
174,20251013,11,2,73,37,171,0
175,20250405,164,8,49,199,49,0
176,20230506,449,1,274,22,60,0
177,20230221,524,4,0,96,40,1
178,20240430,366,9,186,74,126,0
179,20240114,40,1,85,77,180,0
180,20230715,387,10,133,9,171,0
181,20230315,21,3,130,197,91,0
182,20230414,200,5,107,142,60,0
183,20241104,421,4,0,208,182,1
184,20231126,409,5,82,128,27,0
185,20260109,782,9,60,191,93,0
186,20260307,53,1,77,240,101,0
187,20230523,56,7,0,231,23,1
188,20240704,124,10,195,207,54,0
189,20251201,213,2,43,130,100,0
190,20240808,86,1,43,164,127,0
191,20230915,302,5,60,159,64,0
192,20250130,284,3,147,25,88,0
193,20241016,144,8,134,194,195,0
194,20240126,786,5,196,164,32,0
195,20260414,386,3,149,115,123,0
196,20230419,378,4,257,66,181,0
