PricingKey,DateKey,ProductKey,ListPrice,SellingPrice,CompetitorPrice
1,20250409,777,116.51,90.06,118.89
2,20260301,248,229.78,176.16,223.1
3,20250902,667,106.93,91.79,100.64
4,20241126,394,159.79,141.68,150.3
5,20240806,362,342.7,276.77,390.15
6,20230206,391,64.13,52.53,57.64
7,20230926,344,107.89,98.99,117.71
8,20250220,305,183.32,170.82,158.36
9,20260510,552,211.79,188.09,192.15
10,20240116,82,299.58,236.39,294.52
11,20230501,360,146.23,127.72,134.73
12,20250712,761,403.08,373.42,379.23
13,20230303,29,170.48,147.26,180.46
14,20231216,532,328.3,293.31,342.73
15,20260526,177,72.58,68.33,75.35
16,20251124,672,106.54,96.31,118.91
17,20241211,350,195.28,155.85,169.82
18,20241118,287,248.3,203.45,260.31
19,20230316,141,224.09,202.83,193.6
20,20260121,224,205.12,193.46,206.18
21,20250822,35,16.22,13.93,15.95
22,20241211,485,125.2,114.86,143.69
23,20240808,696,181.19,179.61,178.09
24,20230525,439,350.84,306.59,323.53
25,20250826,566,84.3,70.95,81.24
26,20250322,509,90.19,78.63,100.08
27,20240102,370,263.18,251.04,241.26
28,20260109,678,133.31,109.11,115.09
29,20250918,215,179.63,171.97,153.76
30,20250603,522,104.14,88.91,99.75
31,20230201,466,314.66,281.8,320.3
32,20241213,704,18.97,15.03,18.35
33,20230115,522,104.14,79.77,94.64
34,20240316,68,17.84,17.14,17.71
35,20230316,638,35.51,33.76,36.48
36,20240106,212,17.63,14.41,19.07
37,20231023,138,287.07,227.56,327.97
38,20240921,348,233.48,195.82,247.63
39,20251004,345,274.13,231.12,253.81
40,20250807,162,43.61,38.01,37.48
41,20240317,645,259.57,227.26,295.15
42,20250322,695,219.54,192.27,196.03
43,20260504,308,277.35,273.09,270.82
44,20250521,600,66.54,54.0,67.82
45,20251019,62,427.35,424.42,369.31
46,20260407,331,284.71,220.87,317.16
47,20260211,579,241.27,205.59,241.61
48,20230425,129,285.77,244.86,319.7
49,20250401,352,272.28,255.12,306.52
50,20250709,255,317.46,308.64,326.92
51,20250626,795,235.28,184.93,210.32
52,20260521,69,201.68,196.77,214.33
53,20241111,369,98.11,76.94,98.37
54,20231018,140,105.24,96.51,94.03
55,20250103,90,228.46,189.44,215.86
56,20240823,598,111.7,83.79,126.63
57,20260330,133,157.64,119.05,174.72
58,20230125,577,292.69,236.56,252.26
59,20240909,46,338.48,316.87,361.08
60,20230928,591,113.73,87.23,97.46
61,20251112,82,299.58,225.79,297.96
62,20260404,587,273.68,212.7,258.99
63,20250105,75,117.53,94.98,116.03
64,20230620,215,179.63,169.25,204.8
65,20231215,328,77.81,61.15,76.04
66,20251211,135,41.31,38.78,38.61
67,20231006,273,176.31,144.72,200.51
68,20240826,77,218.69,193.21,188.2
69,20260325,140,105.24,97.68,117.85
70,20230507,11,54.42,45.53,54.35
71,20251222,134,299.61,235.54,273.53
72,20251006,109,374.56,311.72,320.06
