PromotionFactKey,DateKey,ProductKey,PromotionKey,PromoUnits,PromoRevenue
1,20230701,411,4,27,1412.15
2,20230317,377,21,33,6390.39
3,20240617,697,50,22,2663.42
4,20230818,538,42,29,1762.66
5,20231129,61,6,28,149.18
6,20240706,135,27,27,875.57
7,20250615,622,9,22,1344.92
8,20250203,574,20,29,7563.33
9,20230530,469,41,25,2856.25
10,20230129,616,49,25,4017.68
11,20260312,320,46,34,5211.02
12,20241225,263,22,17,924.48
13,20231205,684,50,28,2419.03
14,20230519,376,52,25,5202.19
15,20250408,446,11,24,947.22
16,20231213,800,28,27,2989.72
17,20240915,260,45,30,5140.08
18,20240811,203,14,24,8023.58
19,20231230,508,10,26,7317.04
20,20240817,514,16,20,6216.62
21,20250304,255,30,26,5059.68
22,20230216,689,35,27,1712.32
23,20230530,14,60,26,2298.37
24,20240806,297,19,26,3885.25
25,20250301,235,15,30,7081.73
26,20240606,760,39,19,3598.13
27,20250621,140,30,26,1677.32
28,20250719,424,57,18,2244.5
29,20250218,299,10,27,255.07
30,20230621,523,52,21,2468.1
31,20231003,686,5,30,4451.46
32,20240717,148,54,22,406.68
33,20240124,784,54,23,1821.09
34,20250114,338,8,28,3871.7
35,20260316,53,60,28,6198.76
36,20230506,389,43,26,304.09
37,20241029,713,42,31,7082.72
38,20231021,478,27,33,7071.03
39,20260427,63,3,36,1198.9
40,20250408,446,39,30,837.2
41,20240521,781,10,18,713.22
42,20260422,800,38,31,3041.2
43,20231206,529,47,26,1532.6
44,20251011,198,18,34,1359.26
45,20250926,620,44,26,2843.0
46,20231201,467,16,34,5166.63
47,20230817,320,29,20,3061.21
48,20250609,267,28,23,2611.41
49,20251023,384,44,19,769.92
50,20230531,57,23,26,448.1
51,20230525,202,32,26,6448.04
52,20260113,699,21,31,1742.86
53,20251030,474,46,17,3631.82
54,20230618,158,22,29,1465.95
55,20250401,417,9,33,5051.22
56,20250331,284,29,33,393.68
57,20230518,577,29,22,4810.07
58,20250322,432,32,26,5973.32
59,20250427,597,48,21,209.05
60,20250725,417,11,27,5473.18
61,20250524,546,1,25,1049.03
62,20260107,354,8,21,3196.48
63,20241010,2,46,23,1871.62
64,20241026,314,3,24,3314.23
65,20260504,240,39,24,686.44
66,20250711,117,8,30,1286.97
67,20260525,400,32,35,5378.11
68,20251122,226,37,26,5545.88
69,20231012,490,60,19,1288.89
70,20241004,269,57,31,367.01
71,20250204,678,26,25,2612.88
72,20250222,428,39,20,4587.6
73,20231027,262,28,29,5504.09
74,20231017,537,5,20,1926.34
75,20240422,50,38,16,2869.52
