ReturnKey,DateKey,ProductKey,ReturnReason,ReturnUnits,ReturnValue
1,20251216,227,Changed Mind,4,1170.48
2,20231027,765,Not as Described,2,62.02
3,20230726,128,Not as Described,3,125.28
4,20230902,429,Wrong Item Sent,2,390.42
5,20230422,80,Wrong Item Sent,1,237.98
6,20231113,10,Defective/Not Working,4,210.68
7,20240407,440,Wrong Item Sent,1,113.85
8,20240621,675,Better Price Found,1,310.72
9,20260314,731,Wrong Item Sent,2,850.92
10,20250513,784,Defective/Not Working,1,112.95
11,20260509,558,Changed Mind,2,482.8
12,20250208,224,Defective/Not Working,3,615.36
13,20240718,122,Better Price Found,1,193.32
14,20240806,470,No Longer Needed,2,372.46
15,20240211,87,Defective/Not Working,4,816.6
16,20250717,30,Late Delivery,1,325.32
17,20241224,48,Not as Described,4,307.6
18,20250907,226,No Longer Needed,2,501.3
19,20230620,779,Better Price Found,2,269.94
20,20240421,72,Not as Described,4,478.88
21,20230308,463,Defective/Not Working,3,610.2
22,20260209,583,Not as Described,4,730.96
23,20240211,94,Better Price Found,3,35.37
24,20240210,696,Better Price Found,2,362.38
25,20260506,161,Late Delivery,3,607.56
26,20250318,276,Defective/Not Working,2,133.4
27,20230808,406,No Longer Needed,4,706.56
28,20240420,709,No Longer Needed,3,107.04
29,20251113,391,Changed Mind,1,64.13
30,20230613,45,Better Price Found,2,539.48
31,20230709,481,Not as Described,3,803.91
32,20260101,231,Late Delivery,3,571.17
33,20231130,111,Late Delivery,3,931.77
34,20240617,158,Not as Described,4,325.08
35,20240923,7,Defective/Not Working,4,677.72
36,20250610,119,Changed Mind,3,1001.61
37,20240609,738,Changed Mind,2,447.7
38,20241129,754,Not as Described,4,1634.32
39,20250323,580,Changed Mind,1,282.51
40,20230801,350,Better Price Found,3,585.84
41,20230507,318,Wrong Item Sent,2,82.18
42,20231112,113,No Longer Needed,4,476.4
43,20250526,162,Not as Described,3,130.83
44,20250114,297,Changed Mind,2,406.62
45,20230605,267,Defective/Not Working,1,142.28
46,20241209,146,Not as Described,2,376.06
47,20230828,393,Wrong Item Sent,1,22.43
48,20241025,670,Not as Described,4,914.4
49,20250831,731,Wrong Item Sent,4,1701.84
50,20250805,206,Better Price Found,3,108.66
51,20260121,528,Late Delivery,1,365.56
52,20251011,409,Not as Described,3,659.46
53,20230215,484,Changed Mind,4,61.64
54,20250113,199,Not as Described,4,508.72
55,20241204,416,Wrong Item Sent,2,257.36
56,20260224,651,Not as Described,2,136.56
57,20260509,85,Defective/Not Working,4,211.72
58,20241115,793,Defective/Not Working,1,136.99
59,20240720,420,Wrong Item Sent,3,368.34
60,20260502,567,Defective/Not Working,3,671.76
61,20230130,102,Changed Mind,4,1034.88
62,20250909,16,Not as Described,3,365.76
63,20250305,288,Not as Described,1,29.26
64,20250531,593,Better Price Found,3,1045.5
65,20231205,158,Changed Mind,1,81.27
66,20260118,418,Not as Described,1,235.9
67,20260528,447,No Longer Needed,3,179.28
68,20250515,748,Better Price Found,4,965.88
69,20231004,763,Not as Described,1,348.36
70,20250710,437,Late Delivery,3,285.84
71,20251216,426,Better Price Found,3,247.68
72,20250524,403,Defective/Not Working,4,842.16
73,20240831,256,Defective/Not Working,2,216.54
74,20251015,35,Wrong Item Sent,4,64.88
75,20241112,36,Not as Described,3,643.92
76,20240206,359,Defective/Not Working,2,313.52
77,20260315,188,Wrong Item Sent,2,553.0
78,20241118,427,Not as Described,1,416.06
79,20260402,191,Better Price Found,2,661.02
80,20231025,102,Defective/Not Working,1,258.72
81,20260611,146,Not as Described,1,188.03
82,20260421,235,No Longer Needed,4,1407.2
83,20260526,567,Not as Described,1,223.92
84,20260318,71,Defective/Not Working,4,325.8
85,20260110,287,Wrong Item Sent,1,248.3
86,20231009,511,Late Delivery,3,344.1
87,20240417,48,Defective/Not Working,2,153.8
88,20230410,697,Defective/Not Working,1,203.47
89,20250120,739,Late Delivery,3,746.16
90,20250618,102,Changed Mind,2,517.44
91,20260207,494,Defective/Not Working,4,1522.0
92,20260327,196,Not as Described,2,159.32
93,20260410,786,Defective/Not Working,1,127.42
94,20231017,764,Changed Mind,3,114.51
95,20251227,33,Defective/Not Working,4,590.72
96,20250621,237,Changed Mind,3,1018.35
97,20240801,689,Not as Described,2,205.24
98,20251220,246,Late Delivery,2,579.66
99,20240616,513,Not as Described,4,1020.92
100,20241022,783,Wrong Item Sent,3,762.03
101,20240128,590,Changed Mind,1,66.24
102,20260426,300,Not as Described,2,188.4
