SalesKey,DateKey,ProductKey,VendorKey,RegionKey,WarehouseKey,CustomerSegmentKey,Units,Revenue,COGS,DiscountValue
1,20230625,41,76,3,3,1,3,816.9,475.29,0.0
2,20260505,256,26,3,10,3,5,541.35,275.65,0.0
3,20240621,79,121,2,10,2,5,1265.9,563.1,0.0
4,20240517,779,134,2,3,1,5,674.85,406.05,0.0
5,20230731,705,141,1,3,1,1,215.72,151.15,23.97
6,20250708,158,82,2,9,1,2,162.54,102.38,0.0
7,20260424,140,27,2,5,3,2,168.38,102.8,42.1
8,20240619,629,131,3,6,4,1,217.61,86.55,0.0
9,20231212,547,30,5,7,2,3,1180.38,522.72,0.0
10,20240102,419,21,3,9,3,10,1992.6,892.5,0.0
11,20240708,305,38,2,8,2,9,1649.88,1101.87,0.0
12,20241231,194,84,2,10,1,2,629.12,349.98,0.0
13,20250623,300,46,2,6,4,2,169.56,97.1,18.84
14,20260406,276,141,4,6,1,2,126.73,75.28,6.67
15,20251228,386,112,6,6,4,6,1105.02,448.92,0.0
16,20240127,504,21,2,3,1,6,117.74,91.26,29.44
17,20250729,274,62,5,7,1,4,741.4,379.04,0.0
18,20260104,527,100,1,9,1,9,735.66,303.39,0.0
19,20250403,729,52,1,6,2,2,714.06,324.9,0.0
20,20230908,427,106,1,1,2,4,1664.24,642.48,0.0
21,20251027,607,74,3,7,2,3,545.64,387.48,0.0
22,20251204,625,29,2,6,2,3,1164.03,504.27,61.26
23,20260322,236,93,3,7,1,9,3251.82,1433.07,171.15
24,20230703,540,101,3,8,1,3,989.07,479.01,0.0
25,20250807,515,148,3,9,4,1,121.51,60.47,6.4
26,20260210,94,25,1,8,1,2,16.51,14.42,7.07
27,20250202,154,74,4,7,1,6,1544.46,924.48,0.0
28,20260428,422,9,3,9,1,3,146.23,70.68,7.7
29,20231018,9,57,5,6,1,1,205.42,96.68,22.83
30,20231109,345,51,2,10,1,1,274.13,109.05,0.0
31,20230721,574,68,2,7,2,4,1170.84,709.2,0.0
32,20240704,339,56,2,8,1,5,738.5,510.45,0.0
33,20250211,552,107,1,4,1,2,423.58,174.64,0.0
34,20240509,342,48,4,9,1,4,409.88,230.04,0.0
35,20260307,230,83,3,4,1,4,223.16,94.16,0.0
36,20260504,287,120,1,2,1,2,422.11,312.58,74.49
37,20260101,792,145,3,5,3,6,811.05,474.18,42.69
38,20250802,713,53,2,8,1,5,1625.0,722.65,0.0
39,20230915,680,46,4,1,2,4,1089.72,489.32,0.0
40,20240205,463,12,1,3,1,2,406.8,156.78,0.0
41,20250729,690,79,2,10,1,3,346.98,250.29,38.55
42,20240827,491,30,1,9,4,2,285.99,224.62,50.47
43,20250203,583,111,3,7,3,1,146.19,107.01,36.55
44,20231007,78,1,2,3,1,6,837.9,490.8,44.1
45,20250115,416,124,2,10,1,3,386.04,155.34,0.0
46,20250314,489,73,1,8,1,5,1228.87,545.3,64.68
47,20260321,606,95,1,2,1,5,271.2,113.65,0.0
48,20230403,339,56,1,3,1,3,398.79,306.27,44.31
49,20250129,554,125,3,2,3,2,119.66,82.54,0.0
50,20260602,534,71,1,5,3,3,335.31,188.76,0.0
51,20231223,47,107,3,5,3,6,1287.86,944.64,67.78
52,20250720,634,80,3,3,3,1,92.47,64.26,39.63
53,20240426,29,108,1,2,1,4,647.82,336.44,34.1
54,20240802,363,76,1,10,1,3,340.14,208.14,0.0
55,20260528,670,74,2,8,2,3,685.8,489.54,0.0
56,20240426,321,26,2,8,3,3,1142.61,511.02,0.0
57,20251109,502,10,4,10,2,2,681.42,292.7,35.86
58,20250712,17,122,1,5,1,14,3236.8,1361.08,0.0
59,20250226,71,49,3,8,4,3,244.35,128.46,0.0
60,20230203,214,22,1,6,1,3,928.17,531.57,0.0
61,20260221,27,16,2,4,1,2,221.96,85.86,0.0
62,20250111,396,72,3,5,1,6,1004.22,402.42,0.0
63,20250916,507,127,3,5,1,6,1597.68,738.54,0.0
64,20260228,306,8,2,3,1,5,1337.05,712.35,0.0
65,20260112,726,65,1,4,3,4,1099.4,525.36,0.0
66,20240207,665,128,4,9,1,5,2030.9,796.15,0.0
67,20230122,24,102,2,2,1,3,379.8,254.7,0.0
68,20230723,771,139,1,4,3,4,350.88,184.52,0.0
69,20230217,137,59,3,8,1,4,71.76,46.8,0.0
70,20250223,303,111,1,10,1,2,210.34,93.2,0.0
71,20240608,410,47,1,2,2,4,377.28,230.36,0.0
72,20231216,385,105,3,8,2,12,1029.48,669.48,0.0
73,20230418,170,12,3,2,2,4,1346.64,660.24,0.0
74,20240129,339,56,2,6,1,7,930.51,714.63,103.39
75,20250424,642,15,1,2,1,3,280.89,121.89,0.0
76,20240914,182,147,2,10,4,4,645.72,330.72,0.0
77,20241016,708,115,1,6,1,4,562.84,367.36,0.0
78,20240928,312,23,3,6,1,8,1315.58,1166.64,328.9
79,20231004,447,43,1,8,1,5,298.8,192.7,0.0
80,20231106,303,111,1,1,1,3,268.18,139.8,47.33
81,20250407,715,67,1,9,1,8,1158.65,565.2,204.47
82,20230205,95,117,3,9,3,3,183.43,116.1,45.86
83,20230918,265,10,2,3,1,4,947.38,585.04,49.86
84,20240401,377,85,5,4,1,3,612.95,312.15,68.11
85,20251004,632,139,1,7,1,6,1746.9,732.3,0.0
86,20260524,206,108,5,7,1,5,181.1,88.3,0.0
87,20250831,327,123,4,2,1,5,157.65,85.2,0.0
88,20240310,792,145,2,2,2,2,284.58,158.06,0.0
89,20230209,166,116,2,10,1,6,1665.42,823.14,0.0
90,20260301,759,14,1,2,1,2,456.16,296.2,0.0
91,20240405,347,59,1,6,3,2,117.32,46.74,0.0
92,20250427,398,14,3,3,1,5,354.1,161.85,0.0
93,20240720,275,61,4,6,1,3,104.91,40.86,0.0
94,20241109,497,85,5,2,1,4,1246.52,495.04,0.0
95,20240109,609,3,3,7,3,2,498.3,217.84,0.0
96,20241211,505,56,3,3,1,2,287.1,118.14,0.0
97,20230214,489,73,2,1,2,5,905.48,545.3,388.06
98,20250914,553,9,2,6,2,4,275.96,144.0,0.0
99,20241009,634,80,4,10,1,2,250.99,128.52,13.21
100,20240510,164,125,1,5,3,3,1175.51,511.32,61.87
101,20230717,779,134,2,6,1,6,728.84,487.26,80.98
102,20230411,286,147,3,9,2,3,953.01,391.35,0.0
