TargetKey,DateKey,VendorKey,TargetRevenue,TargetUnits,BudgetCost
1,20230101,1,17540.1,647,10419.18
2,20230101,2,91846.72,3870,60123.42
3,20230101,3,53181.46,1309,29945.68
4,20230101,4,21243.88,548,13287.93
5,20230101,5,97830.92,4450,65510.64
6,20230101,6,43203.9,2127,29393.87
7,20230101,7,27895.75,1169,16495.75
8,20230101,8,12339.25,327,7747.39
9,20230101,9,78887.43,2318,54225.07
10,20230101,10,155296.84,5898,105603.3
11,20230101,11,199141.6,5720,113437.26
12,20230101,12,96599.45,5467,64930.9
13,20230101,13,93596.05,2433,64810.37
14,20230101,14,74539.87,2847,51242.99
15,20230101,15,47092.67,1459,28156.6
16,20230101,16,59386.68,1533,32916.75
17,20230101,17,52507.06,1256,36072.76
18,20230101,18,99753.03,2594,67438.63
19,20230101,19,84507.89,3915,55011.69
20,20230101,20,22899.5,1128,15245.11
21,20230101,21,43469.5,2235,26996.99
22,20230101,22,86115.66,2210,49487.92
23,20230101,23,34710.83,1266,23912.69
24,20230101,24,79668.75,4180,55186.64
25,20230101,25,67480.97,2427,46480.65
26,20230101,26,80590.59,3169,56012.74
27,20230101,27,33900.33,782,19664.28
28,20230101,28,92250.95,5421,63417.89
29,20230101,29,49166.57,2049,33755.78
30,20230101,30,89754.21,2169,57077.45
31,20230101,31,104234.01,2370,72493.99
32,20230101,32,51400.69,1929,34808.34
33,20230101,33,74216.67,1892,48983.07
34,20230101,34,52490.12,2246,31394.13
35,20230101,35,194439.51,4575,111724.44
36,20230101,36,89501.11,2996,59808.22
37,20230101,37,75784.0,2185,51507.51
38,20230101,38,41843.76,1597,26207.01
39,20230101,39,217466.35,5531,144643.92
40,20230101,40,45705.25,1242,27573.14
41,20230101,41,25153.36,630,14126.22
42,20230101,42,146747.13,7372,98940.09
43,20230101,43,7551.89,413,5136.41
44,20230101,44,37969.91,1471,22797.81
45,20230101,45,88019.28,2628,50415.17
46,20230101,46,121130.53,5056,79527.88
47,20230101,47,47156.13,1920,26021.28
48,20230101,48,76588.18,3260,46558.75
49,20230101,49,72143.73,3078,44348.81
50,20230101,50,65906.6,3482,44920.8
51,20230101,51,52959.47,1839,31279.86
52,20230101,52,28373.04,1010,16904.69
53,20230101,53,97280.25,4213,60137.57
54,20230101,54,13894.39,785,8664.56
55,20230101,55,81679.38,3412,50846.1
56,20230101,56,51901.43,1211,31540.0
57,20230101,57,54199.56,3241,31745.87
58,20230101,58,80609.4,1857,53473.2
59,20230101,59,68601.91,1777,38905.58
60,20230101,60,30727.56,1198,19691.11
61,20230101,61,68649.51,1586,40988.57
62,20230101,62,24599.5,807,15362.08
63,20230101,63,69463.42,3481,44694.2
64,20230101,64,205166.98,5351,136739.63
65,20230101,65,70051.2,2457,48752.59
66,20230101,66,88673.73,2113,60864.4
67,20230101,67,15335.79,369,9881.92
68,20230101,68,37190.07,1027,20568.77
69,20230101,69,73993.24,3658,42155.58
70,20230101,70,35332.72,2152,22532.04
71,20230101,71,149477.99,6768,83278.71
72,20230101,72,71466.14,2983,44011.71
73,20230101,73,99021.9,2249,69088.29
74,20230101,74,106002.99,6988,72504.98
75,20230101,75,117957.56,2811,65546.04
76,20230101,76,47960.64,1622,29545.6
77,20230101,77,43687.39,1435,28854.71
78,20230101,78,199502.45,5007,127376.6
79,20230101,79,14312.39,469,9745.5
80,20230101,80,62011.9,2897,42779.33
81,20230101,81,68570.39,2222,40313.46
82,20230101,82,61204.37,1405,33706.3
83,20230101,83,45848.99,1074,25609.28
84,20230101,84,112243.63,2566,71852.89
85,20230101,85,60205.64,2620,34896.62
86,20230101,86,21585.86,568,12749.01
87,20230101,87,57240.46,2469,39953.95
88,20230101,88,123078.9,3270,81151.83
89,20230101,89,59909.14,1697,34932.7
90,20230101,90,158946.49,7323,103272.57
91,20230101,91,41283.96,1178,26034.7
92,20230101,92,133409.54,3356,77769.09
93,20230101,93,33437.39,1184,20276.99
94,20230101,94,15121.01,432,8453.14
95,20230101,95,187789.37,11285,122509.98
96,20230101,96,26929.47,727,18418.44
97,20230101,97,26658.84,675,16189.01
98,20230101,98,40205.41,1494,28133.15
99,20230101,99,75326.65,1802,46369.43
100,20230101,100,35744.33,1578,24101.92
101,20230101,101,87774.17,3726,54283.95
102,20230101,102,216799.89,10922,135054.7
103,20230101,103,190911.42,4779,105747.44
104,20230101,104,17236.86,432,10299.83
105,20230101,105,148991.25,6679,85698.69
106,20230101,106,11181.71,306,6435.1
107,20230101,107,129055.93,5797,79651.97
108,20230101,108,41801.95,1003,27301.41
109,20230101,109,20760.49,1298,13325.79
110,20230101,110,41126.8,2264,24888.01
111,20230101,111,141736.59,8245,82300.34
112,20230101,112,218663.54,7470,125233.07
113,20230101,113,96212.97,4253,63059.27
114,20230101,114,97880.96,4399,55798.15
115,20230101,115,34239.73,1029,21726.62
116,20230101,116,16149.94,648,10851.09
117,20230101,117,110077.37,3144,69324.25
118,20230101,118,180070.44,4094,100860.7
119,20230101,119,11363.65,469,7707.74
120,20230101,120,207234.25,6833,144316.0
121,20230101,121,59751.48,1534,40477.79
122,20230101,122,167976.7,4112,114981.43
123,20230101,123,97068.58,3083,58699.47
124,20230101,124,33248.98,1056,18959.1
125,20230101,125,90470.16,3188,55660.33
126,20230101,126,201411.63,4844,134013.31
127,20230101,127,52960.71,1255,33396.41
128,20230101,128,97817.34,5521,62089.46
129,20230101,129,179553.17,4434,101696.49
130,20230101,130,177216.67,9172,123185.96
131,20230101,131,106874.87,4722,74455.62
132,20230101,132,96606.15,3797,60988.94
133,20230101,133,53647.3,1717,30105.37
134,20230101,134,72758.34,1703,49404.71
135,20230101,135,33702.07,806,18978.55
136,20230101,136,49477.88,2084,30801.3
137,20230101,137,169452.41,9473,108184.5
138,20230101,138,100610.14,3914,67061.36
139,20230101,139,35130.32,1523,20098.96
140,20230101,140,9120.35,323,5379.97
141,20230101,141,24700.02,1608,16619.65
142,20230101,142,242442.1,15834,158546.65
143,20230101,143,100951.78,3222,67793.15
144,20230101,144,82400.31,2061,47085.09
145,20230101,145,122877.14,6289,84614.32
146,20230101,146,34880.4,1406,21319.81
147,20230101,147,43334.03,1447,28454.47
148,20230101,148,56473.95,2391,35212.31
149,20230101,149,15831.17,744,9636.37
150,20230101,150,29386.76,758,18519.63
151,20230201,1,42489.3,1107,25117.79
152,20230201,2,74647.18,3439,45521.62
153,20230201,3,10496.72,269,7183.29
154,20230201,4,40632.8,1848,27807.85
155,20230201,5,107858.06,3920,64585.97
156,20230201,6,93752.2,4987,63758.42
157,20230201,7,106300.91,2830,59930.16
158,20230201,8,101664.06,2325,63288.75
159,20230201,9,67711.21,3159,46418.86
