TrafficKey,DateKey,ProductKey,RegionKey,PageViews,Sessions,GlanceViews,AddToCart,Orders
1,20230310,725,3,38,24,31,4,1
2,20250828,271,2,238,131,157,15,5
3,20240921,702,1,74,37,48,8,4
4,20240602,278,6,97,57,70,6,3
5,20230817,719,3,202,113,135,16,9
6,20250310,778,3,24,11,17,2,1
7,20250127,743,2,96,45,77,6,2
8,20260618,710,1,65,40,56,7,3
9,20251020,129,3,264,110,188,15,5
10,20260120,453,3,36,20,25,1,0
11,20231002,517,2,117,58,80,8,4
12,20240524,720,4,116,44,74,8,4
13,20260223,653,1,161,78,123,12,6
14,20251107,454,2,98,43,64,5,2
15,20250515,427,2,114,63,83,14,6
16,20250726,542,1,38,18,29,4,1
17,20251126,579,4,58,38,46,5,2
18,20231010,364,5,222,146,173,25,14
19,20250126,511,1,95,40,64,10,6
20,20240218,723,6,110,48,71,6,2
21,20240522,280,6,43,24,34,1,0
22,20250218,342,3,60,27,44,7,4
23,20231227,700,4,110,70,85,6,2
24,20250116,627,1,70,32,46,4,1
25,20250609,672,2,138,66,99,6,3
26,20231019,657,2,112,58,96,8,3
27,20241127,442,1,129,50,87,8,3
28,20231107,667,2,166,104,147,10,5
29,20230328,167,3,52,30,38,4,2
30,20251124,546,2,473,188,307,46,28
31,20250711,558,3,573,348,436,57,21
32,20240826,187,3,128,61,100,8,4
33,20250721,587,6,85,37,64,11,5
34,20260227,408,5,55,36,47,3,1
35,20260621,362,3,43,25,32,3,1
36,20230216,192,2,74,27,47,4,1
37,20231211,22,2,38,28,34,5,2
38,20260424,606,3,134,59,104,14,7
39,20260207,434,1,60,40,48,4,1
40,20241017,412,3,83,39,57,8,5
41,20250209,782,5,232,120,156,25,8
42,20240630,537,6,126,67,107,13,7
43,20250421,581,2,248,90,164,28,11
44,20240826,611,6,147,68,116,13,7
45,20260512,1,6,149,86,107,7,3
46,20260118,768,2,103,77,93,6,2
47,20230924,297,1,89,61,75,10,4
48,20230511,401,6,170,84,145,21,11
49,20240519,739,4,119,63,77,9,3
50,20250620,200,3,127,58,89,6,3
51,20250225,181,5,17,11,16,2,1
