ForecastKey,DateKey,ProductKey,ForecastUnits,ActualUnits,ML_PredictedUnits,ML_ForecastVariance
1,20230101,166,146,121,127.0,-19.0
2,20230101,128,164,212,165.7,1.7
3,20230101,413,139,144,134.3,-4.7
4,20230101,654,129,149,128.2,-0.8
5,20230101,711,142,170,133.8,-8.2
6,20230101,123,122,97,131.9,9.9
7,20230101,246,127,147,128.5,1.5
8,20230101,637,117,113,131.7,14.7
9,20230101,716,118,99,131.7,13.7
10,20230101,672,163,151,135.2,-27.8
11,20230101,150,119,113,127.7,8.7
12,20230101,572,132,106,132.2,0.2
13,20230101,504,126,151,128.3,2.3
14,20230101,269,174,144,137.1,-36.9
15,20230101,354,143,183,137.1,-5.9
16,20230101,590,173,192,145.6,-27.4
17,20230101,730,131,98,118.7,-12.3
18,20230101,699,143,124,138.5,-4.5
19,20230101,263,119,130,132.9,13.9
20,20230101,288,113,88,104.0,-9.0
21,20230101,230,115,88,126.6,11.6
22,20230101,440,150,117,133.6,-16.4
23,20230101,744,150,191,131.4,-18.6
24,20230101,46,150,134,132.3,-17.7
25,20230101,35,127,89,136.8,9.8
26,20230101,203,143,151,136.7,-6.3
27,20230101,359,135,154,138.1,3.1
28,20230101,605,127,163,137.7,10.7
29,20230101,480,122,115,128.0,6.0
30,20230101,624,120,139,141.9,21.9
31,20230101,537,114,140,135.8,21.8
32,20230101,234,118,105,128.2,10.2
33,20230101,636,129,101,121.1,-7.9
34,20230101,133,132,123,134.5,2.5
35,20230101,800,121,146,152.7,31.7
36,20230101,761,120,132,137.6,17.6
37,20230101,89,121,96,124.7,3.7
38,20230101,280,116,125,127.3,11.3
39,20230101,435,115,122,129.8,14.8
40,20230101,291,130,111,133.7,3.7
41,20230101,312,128,118,134.3,6.3
42,20230101,456,141,177,140.1,-0.9
43,20230101,563,126,121,120.6,-5.4
44,20230101,122,128,133,136.9,8.9
45,20230101,733,162,203,137.3,-24.7
46,20230101,61,170,170,137.2,-32.8
47,20230101,509,117,149,132.9,15.9
48,20230101,401,113,90,128.5,15.5
49,20230101,340,112,79,132.0,20.0
50,20230101,569,132,133,137.1,5.1
51,20230101,278,146,123,128.7,-17.3
52,20230101,146,126,161,128.5,2.5
53,20230101,383,161,191,140.0,-21.0
54,20230101,350,156,169,144.6,-11.4
55,20230101,745,113,88,117.6,4.6
56,20230101,151,108,119,126.7,18.7
57,20230101,658,145,184,138.1,-6.9
58,20230101,404,125,142,136.1,11.1
59,20230101,363,132,131,133.6,1.6
60,20230101,384,128,141,140.0,12.0
61,20230201,257,145,178,148.3,3.3
62,20230201,386,134,98,127.3,-6.7
63,20230201,91,126,89,132.2,6.2
64,20230201,366,127,130,132.5,5.5
65,20230201,243,128,130,128.3,0.3
66,20230201,417,115,122,124.0,9.0
67,20230201,639,117,100,140.2,23.2
68,20230201,92,132,101,136.7,4.7
69,20230201,486,146,123,140.1,-5.9
70,20230201,792,137,168,132.5,-4.5
71,20230201,385,149,171,134.0,-15.0
72,20230201,507,102,78,123.9,21.9
73,20230201,752,118,89,132.5,14.5
74,20230201,695,148,115,131.9,-16.1
75,20230201,119,137,105,135.7,-1.3
76,20230201,344,129,149,159.2,30.2
77,20230201,528,127,94,128.9,1.9
78,20230201,374,174,171,155.3,-18.7
79,20230201,48,120,108,142.5,22.5
80,20230201,690,135,122,136.3,1.3
81,20230201,774,109,80,133.8,24.8
82,20230201,658,148,149,140.2,-7.8
83,20230201,82,166,182,133.7,-32.3
84,20230201,505,152,176,128.4,-23.6
85,20230201,155,145,151,121.9,-23.1
86,20230201,347,121,155,127.3,6.3
87,20230201,470,155,196,143.7,-11.3
88,20230201,361,117,91,136.1,19.1
89,20230201,339,117,120,133.9,16.9
90,20230201,728,114,127,145.5,31.5
91,20230201,194,107,109,138.3,31.3
92,20230201,176,141,165,137.7,-3.3
93,20230201,556,102,131,133.3,31.3
94,20230201,761,124,105,132.7,8.7
95,20230201,229,144,109,125.5,-18.5
96,20230201,348,148,190,140.1,-7.9
97,20230201,25,149,156,128.2,-20.8
98,20230201,247,138,147,122.9,-15.1
99,20230201,498,143,138,130.1,-12.9
100,20230201,423,97,83,136.7,39.7
101,20230201,161,135,99,129.7,-5.3
102,20230201,521,157,113,129.0,-28.0
103,20230201,573,118,130,133.9,15.9
104,20230201,511,152,130,132.2,-19.8
105,20230201,295,171,217,152.2,-18.8
106,20230201,19,111,108,121.3,10.3
107,20230201,502,117,121,131.1,14.1
108,20230201,327,124,88,120.3,-3.7
109,20230201,250,124,142,130.8,6.8
110,20230201,773,151,160,134.3,-16.7
111,20230201,341,117,108,126.1,9.1
112,20230201,181,156,177,124.5,-31.5
113,20230201,414,120,96,132.2,12.2
114,20230201,610,146,109,134.9,-11.1
115,20230201,220,135,141,127.6,-7.4
116,20230201,270,118,130,125.9,7.9
117,20230201,353,153,193,130.4,-22.6
118,20230201,24,144,148,136.1,-7.9
119,20230201,488,132,131,134.4,2.4
120,20230201,205,151,152,132.1,-18.9
121,20230301,537,119,151,135.0,16.0
122,20230301,387,130,102,134.6,4.6
123,20230301,290,109,127,140.6,31.6
124,20230301,263,116,113,132.1,16.1
125,20230301,83,179,176,129.4,-49.6
126,20230301,408,118,95,130.3,12.3
127,20230301,656,112,122,130.1,18.1
128,20230301,466,119,90,125.1,6.1
129,20230301,721,130,166,135.8,5.8
130,20230301,341,97,117,125.0,28.0
131,20230301,250,130,133,129.4,-0.6
132,20230301,331,163,141,128.6,-34.4
133,20230301,731,135,127,155.6,20.6
134,20230301,79,120,144,135.2,15.2
135,20230301,386,154,140,126.0,-28.0
136,20230301,450,107,104,133.8,26.8
137,20230301,351,174,159,138.9,-35.1
138,20230301,344,168,170,158.2,-9.8
139,20230301,752,126,100,131.5,5.5
140,20230301,472,130,161,123.3,-6.7
141,20230301,599,127,117,132.4,5.4
142,20230301,598,132,141,120.7,-11.3
143,20230301,603,128,137,130.1,2.1
144,20230301,730,150,115,137.0,-13.0
145,20230301,146,114,89,127.1,13.1
146,20230301,78,128,94,130.1,2.1
147,20230301,52,163,207,148.0,-15.0
148,20230301,498,146,111,127.4,-18.6
149,20230301,608,136,152,137.2,1.2
150,20230301,515,151,175,129.8,-21.2
151,20230301,615,150,121,135.0,-15.0
152,20230301,154,115,115,131.5,16.5
153,20230301,63,104,100,133.7,29.7
154,20230301,206,124,135,128.8,4.8
155,20230301,359,131,131,136.7,5.7
156,20230301,783,108,126,130.5,22.5
157,20230301,305,147,117,130.6,-16.4
158,20230301,173,167,137,138.8,-28.2
159,20230301,190,135,102,125.1,-9.9
160,20230301,712,156,142,128.7,-27.3
161,20230301,604,116,134,136.5,20.5
162,20230301,166,129,104,125.8,-3.2
163,20230301,40,133,153,129.1,-3.9
164,20230301,370,130,100,127.0,-3.0
165,20230301,108,138,172,135.4,-2.6
166,20230301,277,114,87,122.5,8.5
167,20230301,756,132,98,135.3,3.3
168,20230301,120,100,125,127.8,27.8
169,20230301,746,181,188,149.9,-31.1
170,20230301,155,125,115,120.5,-4.5
171,20230301,266,144,130,138.7,-5.3
172,20230301,270,153,109,124.5,-28.5
173,20230301,436,168,165,131.3,-36.7
174,20230301,92,126,131,135.3,9.3
175,20230301,82,112,83,127.0,15.0
176,20230301,175,134,151,126.9,-7.1
177,20230301,393,161,168,140.8,-20.2
178,20230301,22,154,125,130.2,-23.8
179,20230301,580,129,94,131.3,2.3
180,20230301,508,151,114,107.6,-43.4
181,20230401,751,116,99,138.0,22.0
182,20230401,789,116,89,127.0,11.0
183,20230401,427,142,148,131.2,-10.8
184,20230401,239,142,161,133.9,-8.1
185,20230401,428,109,138,132.6,23.6
186,20230401,310,160,122,139.6,-20.4
187,20230401,69,117,149,134.3,17.3
188,20230401,245,111,114,131.7,20.7
189,20230401,543,168,215,133.6,-34.4
190,20230401,19,167,154,143.5,-23.5
191,20230401,30,165,154,133.0,-32.0
192,20230401,483,140,126,126.2,-13.8
193,20230401,589,143,159,135.3,-7.7
194,20230401,96,115,113,149.9,34.9
195,20230401,485,170,176,137.8,-32.2
196,20230401,601,106,131,140.7,34.7
197,20230401,507,114,134,125.5,11.5
198,20230401,304,128,145,149.5,21.5
199,20230401,414,116,134,131.6,15.6
200,20230401,440,152,136,134.6,-17.4
201,20230401,159,166,160,134.7,-31.3
202,20230401,101,123,154,128.1,5.1
203,20230401,255,153,138,127.1,-25.9
204,20230401,190,129,113,127.2,-1.8
205,20230401,521,157,186,129.0,-28.0
206,20230401,691,137,164,146.0,9.0
207,20230401,277,98,76,123.9,25.9
208,20230401,642,127,106,134.9,7.9
209,20230401,31,130,155,131.9,1.9
210,20230401,439,141,106,145.6,4.6
211,20230401,449,143,165,171.5,28.5
212,20230401,610,132,160,135.7,3.7
213,20230401,636,133,155,125.7,-7.3
214,20230401,778,114,129,129.1,15.1
215,20230401,57,141,101,131.4,-9.6
216,20230401,608,164,162,139.0,-25.0
217,20230401,491,123,125,126.6,3.6
218,20230401,649,149,128,129.1,-19.9
219,20230401,53,114,138,132.4,18.4
220,20230401,154,139,109,135.4,-3.6
221,20230401,785,120,136,130.4,10.4
222,20230401,638,109,130,135.1,26.1
223,20230401,713,174,122,129.2,-44.8
224,20230401,352,112,79,130.4,18.4
225,20230401,753,146,184,130.3,-15.7
226,20230401,133,137,168,134.9,-2.1
227,20230401,325,146,137,141.5,-4.5
228,20230401,12,157,150,130.9,-26.1
229,20230401,145,121,122,131.6,10.6
230,20230401,532,149,133,133.4,-15.6
231,20230401,388,134,169,146.3,12.3
232,20230401,8,163,176,134.9,-28.1
233,20230401,22,138,115,132.0,-6.0
234,20230401,754,105,118,151.6,46.6
235,20230401,579,150,115,138.8,-11.2
236,20230401,582,124,147,149.1,25.1
237,20230401,178,134,125,134.8,0.8
238,20230401,497,154,178,131.8,-22.2
239,20230401,150,133,114,128.7,-4.3
240,20230401,477,128,99,131.8,3.8
241,20230501,158,194,249,125.0,-69.0
242,20230501,117,132,107,137.6,5.6
243,20230501,420,140,175,143.5,3.5
244,20230501,399,151,185,138.9,-12.1
245,20230501,301,153,137,132.7,-20.3
246,20230501,764,131,159,150.6,19.6
247,20230501,594,154,121,134.1,-19.9
248,20230501,46,126,162,131.8,5.8
249,20230501,431,153,181,136.1,-16.9
250,20230501,94,132,135,137.1,5.1
251,20230501,534,97,86,120.8,23.8
252,20230501,292,117,133,125.7,8.7
253,20230501,216,144,155,131.8,-12.2
254,20230501,297,130,142,131.4,1.4
255,20230501,769,119,123,132.6,13.6
256,20230501,192,132,130,133.6,1.6
257,20230501,459,104,128,143.2,39.2
258,20230501,256,137,176,155.6,18.6
259,20230501,359,143,177,138.8,-4.2
260,20230501,438,141,111,151.4,10.4
261,20230501,421,135,100,125.1,-9.9
262,20230501,361,146,139,136.5,-9.5
263,20230501,295,154,169,149.9,-4.1
264,20230501,364,175,208,158.0,-17.0
265,20230501,257,123,150,145.8,22.8
266,20230501,97,134,173,153.2,19.2
267,20230501,11,150,152,148.1,-1.9
268,20230501,238,126,146,128.1,2.1
269,20230501,423,176,187,137.7,-38.3
270,20230501,561,159,189,134.3,-24.7
271,20230501,502,174,131,134.1,-39.9
272,20230501,414,114,118,131.8,17.8
273,20230501,799,111,107,135.7,24.7
274,20230501,251,129,159,143.0,14.0
275,20230501,22,129,97,132.3,3.3
276,20230501,463,168,140,126.4,-41.6
277,20230501,528,126,140,133.5,7.5
278,20230501,356,129,165,144.8,15.8
279,20230501,8,136,157,135.1,-0.9
280,20230501,67,103,91,121.3,18.3
281,20230501,215,126,121,139.4,13.4
282,20230501,629,119,114,127.2,8.2
283,20230501,707,100,100,135.6,35.6
284,20230501,728,129,132,145.5,16.5
285,20230501,398,127,113,137.9,10.9
286,20230501,689,117,128,132.9,15.9
287,20230501,477,149,147,132.0,-17.0
288,20230501,170,135,167,139.1,4.1
289,20230501,303,139,179,135.5,-3.5
290,20230501,531,159,117,139.8,-19.2
291,20230501,266,154,156,132.8,-21.2
292,20230501,619,123,140,137.5,14.5
293,20230501,355,105,105,134.8,29.8
294,20230501,607,167,143,117.2,-49.8
295,20230501,485,144,135,138.0,-6.0
296,20230501,180,109,84,119.2,10.2
297,20230501,262,118,92,131.7,13.7
298,20230501,760,130,110,122.1,-7.9
299,20230501,107,166,135,132.6,-33.4
300,20230501,648,158,204,125.8,-32.2
301,20230601,108,134,122,138.2,4.2
302,20230601,712,154,154,129.3,-24.7
303,20230601,355,170,130,135.0,-35.0
304,20230601,598,116,95,123.3,7.3
305,20230601,198,143,140,140.3,-2.7
306,20230601,405,134,96,129.1,-4.9
307,20230601,504,143,110,131.0,-12.0
308,20230601,670,129,155,151.3,22.3
309,20230601,523,128,131,137.9,9.9
310,20230601,787,127,98,131.1,4.1
311,20230601,663,122,115,127.7,5.7
312,20230601,444,131,102,128.4,-2.6
313,20230601,357,135,124,113.6,-21.4
314,20230601,727,131,131,126.0,-5.0
315,20230601,10,123,103,127.2,4.2
316,20230601,668,98,124,134.9,36.9
317,20230601,578,157,125,130.5,-26.5
318,20230601,138,145,142,128.3,-16.7
319,20230601,542,125,107,126.2,1.2
320,20230601,159,120,132,134.9,14.9
321,20230601,409,126,129,137.3,11.3
322,20230601,186,166,187,132.2,-33.8
323,20230601,534,145,134,121.1,-23.9
324,20230601,512,148,132,147.7,-0.3
325,20230601,587,148,103,126.7,-21.3
326,20230601,723,173,214,140.8,-32.2
327,20230601,363,114,88,134.9,20.9
328,20230601,93,163,184,141.5,-21.5
329,20230601,312,160,189,136.2,-23.8
330,20230601,106,145,152,131.1,-13.9
331,20230601,425,183,144,136.1,-46.9
332,20230601,655,158,184,137.0,-21.0
333,20230601,167,151,176,136.9,-14.1
334,20230601,252,124,106,132.5,8.5
335,20230601,163,127,155,135.4,8.4
336,20230601,373,126,108,133.1,7.1
337,20230601,427,104,114,131.0,27.0
338,20230601,89,122,148,128.9,6.9
339,20230601,397,125,143,132.7,7.7
340,20230601,562,149,162,131.9,-17.1
341,20230601,582,160,162,148.9,-11.1
342,20230601,735,99,124,135.1,36.1
343,20230601,653,132,125,147.4,15.4
344,20230601,121,156,136,137.0,-19.0
345,20230601,647,143,130,133.6,-9.4
346,20230601,276,170,212,150.3,-19.7
347,20230601,229,116,99,125.3,9.3
348,20230601,489,131,131,129.0,-2.0
349,20230601,630,107,103,133.1,26.1
350,20230601,691,112,127,138.9,26.9
351,20230601,172,157,144,147.2,-9.8
352,20230601,568,139,106,127.4,-11.6
353,20230601,311,113,140,130.3,17.3
354,20230601,118,154,142,128.9,-25.1
355,20230601,774,97,82,137.4,40.4
356,20230601,31,95,68,131.7,36.7
357,20230601,323,113,112,136.3,23.3
358,20230601,193,125,118,124.2,-0.8
359,20230601,319,117,123,127.6,10.6
360,20230601,129,156,137,128.0,-28.0
