InventoryKey,DateKey,ProductKey,WarehouseKey,OnHandUnits,InTransitUnits,ReorderPoint,StockoutFlag,ML_IsAnomaly,ML_AnomalyScore
1,20230713,184,2,0,88,173,1,0,0.0659
2,20250802,566,5,138,226,59,0,0,0.0978
3,20230413,530,9,249,43,58,0,0,0.0905
4,20241224,630,6,0,82,88,1,0,0.0707
5,20240423,574,3,0,142,33,1,0,0.0419
6,20251208,324,4,271,4,114,0,0,0.0502
7,20240803,502,5,208,41,136,0,0,0.1146
8,20241013,82,6,130,140,189,0,0,0.1084
9,20250310,389,7,284,181,106,0,0,0.0974
10,20260507,286,8,38,64,62,0,0,0.0896
11,20241113,735,9,223,155,108,0,0,0.1286
12,20251208,466,5,188,128,70,0,0,0.1369
13,20231112,655,10,251,110,163,0,0,0.1095
14,20240705,633,7,241,115,168,0,0,0.1134
15,20241104,789,2,271,15,143,0,0,0.0637
16,20230207,51,2,451,213,183,0,1,-0.0335
17,20230212,311,1,286,162,81,0,0,0.1076
18,20251116,795,10,76,235,24,0,0,0.0294
19,20250813,433,2,217,10,108,0,0,0.0769
20,20251204,134,9,163,89,159,0,0,0.1345
21,20240201,683,10,137,45,69,0,0,0.1257
22,20250228,741,3,95,217,29,0,0,0.0688
23,20240819,213,8,394,106,165,0,0,0.0279
24,20260117,110,7,148,95,106,0,0,0.1411
25,20240930,56,10,255,40,118,0,0,0.1024
26,20250228,388,5,305,142,96,0,0,0.1006
27,20250121,593,3,80,182,138,0,0,0.1291
28,20250705,587,10,129,1,165,0,0,0.041
29,20241001,615,6,100,125,115,0,0,0.1345
30,20241208,277,4,24,146,65,0,0,0.0849
31,20250625,349,1,85,104,65,0,0,0.1224
32,20250721,351,8,150,120,84,0,0,0.1454
33,20250919,96,10,286,58,36,0,0,0.0613
34,20250328,772,10,280,136,57,0,0,0.1051
35,20250714,327,10,364,136,153,0,0,0.0562
36,20251020,489,10,181,116,190,0,0,0.0992
37,20240429,380,4,65,50,133,0,0,0.1157
38,20250129,232,8,159,137,42,0,0,0.128
39,20251210,131,1,233,245,172,0,0,0.0463
40,20230430,35,10,230,220,180,0,0,0.074
41,20230131,485,6,165,166,89,0,0,0.1485
42,20250822,638,2,175,79,37,0,0,0.1129
43,20250729,609,1,163,124,141,0,0,0.1449
44,20250122,260,8,0,150,30,1,0,0.0396
45,20230722,54,10,150,163,185,0,0,0.1136
46,20260616,143,6,353,145,72,0,0,0.0613
47,20230520,795,8,333,65,130,0,0,0.0735
48,20241222,345,2,154,106,28,0,0,0.0946
49,20230502,228,7,101,50,188,0,0,0.0812
50,20250806,606,2,260,213,69,0,0,0.0872
51,20230530,708,7,41,173,48,0,0,0.0883
52,20230613,467,6,85,100,61,0,0,0.1214
53,20230125,530,7,201,69,73,0,0,0.1249
54,20230705,545,1,63,69,39,0,0,0.0987
55,20241031,294,2,127,213,176,0,0,0.1065
56,20250710,530,6,136,53,143,0,0,0.1261
57,20230128,421,10,145,129,172,0,0,0.1365
58,20241223,430,8,127,79,77,0,0,0.1307
59,20260626,545,2,60,32,134,0,0,0.0997
60,20251008,631,1,98,153,101,0,0,0.1356
61,20250115,761,8,108,35,161,0,0,0.1008
62,20241123,395,2,164,231,21,0,0,0.0341
63,20250731,511,8,278,219,161,0,0,0.0639
64,20241010,481,2,225,48,42,0,0,0.0912
