VendorKey,VendorName,VendorTier,Revenue,Margin,StockoutRate,TenureDays,RiskLabel,ML_PredictedRisk,ML_RiskConfidence
1,Solstice Brands,Long-Tail,213921.22,0.371,0.077,324,High,High,0.663
2,Northbridge Distribution,Emerging,198487.48,0.56,0.097,1883,Low,Low,0.843
3,Meridian Pty Ltd,Emerging,238156.8,0.47,0.079,1436,Low,Low,0.642
4,Harbor Trading Co.,Long-Tail,631241.77,0.495,0.094,1885,Medium,Medium,0.596
5,Crestview Brands,Emerging,549949.62,0.515,0.048,1453,Low,Medium,0.539
6,Lighthouse Group,Long-Tail,135449.29,0.454,0.062,1580,Medium,Medium,0.545
7,Windward Pty Ltd,Core,647903.66,0.475,0.088,1041,Low,Low,0.668
8,Lighthouse Industries,Emerging,627170.38,0.495,0.065,1879,Low,Low,0.584
9,Northbridge Wholesale,Emerging,309160.48,0.507,0.073,1586,Low,Low,0.648
10,Sterling Industries,Core,1297656.86,0.466,0.084,1969,Low,Low,0.658
11,Highland Trading Co.,Core,220291.56,0.446,0.086,1739,Low,Low,0.724
12,Amberly Distribution,Long-Tail,366635.25,0.519,0.096,432,Medium,Medium,0.816
13,Bondi Distribution,Emerging,298009.08,0.538,0.051,2665,Low,Low,0.848
14,Torrens Trading Co.,Core,460356.54,0.471,0.076,2100,Low,Low,0.758
15,Harbor Pty Ltd,Long-Tail,443748.52,0.423,0.076,1782,Medium,Low,0.533
16,Cascade Industries,Long-Tail,273355.73,0.456,0.11,352,High,High,0.65
17,Windward Industries,Emerging,190739.62,0.57,0.067,304,Medium,Medium,0.764
18,Summit Goods,Long-Tail,36330.7,0.571,0.062,2168,Medium,Medium,0.764
19,Pioneer Pty Ltd,Core,247649.25,0.505,0.057,2778,Low,Low,0.857
20,Coastal Industries,Core,197817.05,0.413,0.06,2468,Low,Low,0.885
21,Torrens Pty Ltd,Long-Tail,381039.95,0.538,0.056,2763,Medium,Low,0.715
22,Summit Wholesale,Long-Tail,559919.22,0.453,0.061,2104,Medium,Low,0.715
23,Crestview Industries,Long-Tail,138546.59,0.352,0.071,1990,Medium,Low,0.72
24,Harbor Manufacturing,Emerging,173591.2,0.474,0.048,1764,Low,Low,0.883
25,Pioneer Distribution,Long-Tail,691437.09,0.512,0.075,412,Medium,Medium,0.833
26,Vantage Goods,Long-Tail,559315.73,0.498,0.055,3046,Medium,Medium,0.614
27,Redwood Goods,Long-Tail,282033.08,0.477,0.081,390,Medium,Medium,0.67
28,Summit Trading Co.,Long-Tail,200761.78,0.47,0.095,2596,Medium,Low,0.564
29,Aurora Trading Co.,Emerging,616467.79,0.505,0.059,356,Medium,Medium,0.864
30,Kangaroo Trading Co.,Emerging,518754.23,0.476,0.073,2267,Low,Low,0.818
31,Highland Group,Emerging,351645.84,0.502,0.084,3095,Low,Low,0.691
32,Aurora Supply Co.,Long-Tail,310797.36,0.541,0.07,2396,Medium,Medium,0.539
33,Solstice Group,Long-Tail,280331.44,0.504,0.09,1189,Medium,Medium,0.616
34,Amberly Wholesale,Core,222153.97,0.361,0.057,586,Low,Low,0.89
35,Coastal Goods,Core,615755.11,0.4,0.066,1911,Low,Low,0.808
36,Crestview Group,Emerging,123109.79,0.508,0.048,2207,Low,Low,0.819
37,Summit Manufacturing,Emerging,302096.75,0.475,0.08,1099,Low,Low,0.757
38,Windward Distribution,Long-Tail,482164.46,0.475,0.087,627,Medium,Low,0.568
39,Lighthouse Trading Co.,Core,246939.55,0.561,0.047,356,Medium,Medium,0.732
40,Ironwood Wholesale,Strategic,121994.06,0.435,0.09,336,Medium,Medium,0.841
